"SMP","X","Y","RAMA","SUBRAMA"
"061-019D-008",-58.4685374809753,-34.5896374705807,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"061-021-020",-58.4708003169429,-34.5897845054558,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"061-022-001",-58.4708866286219,-34.5877628233611,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"061-022-021",-58.4708985592132,-34.5882571131608,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"061-022-024D",-58.4704970538598,-34.5880031007485,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-102-029",-58.4504290751263,-34.5965723545074,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-103A-001",-58.4516044565608,-34.5956219640441,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-180-000A",-58.4473074482872,-34.5937568492093,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-180-000D",-58.4463849875426,-34.5931981571666,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-011-019A",-58.4560969124021,-34.6007397819061,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-036-001",-58.4542658061618,-34.5984570338174,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-036-002",-58.4543320566712,-34.5986220947299,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-036-007A",-58.4547532175464,-34.5988066936839,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"059-160-004",-58.4580118880682,-34.6038992177379,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"059-160-005",-58.458081391953,-34.6039554321013,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"059-160-006",-58.4581492172647,-34.6040035496893,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"059-160-010",-58.4584946886602,-34.6042372504776,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"059-160-012",-58.4578064833634,-34.6037979197223,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"059-161-001A",-58.4578102475984,-34.6031912820221,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"059-176-033",-58.4564176918898,-34.6026543607348,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"059-177-004A",-58.4573190725007,-34.6020046203114,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"059-180B-000",-58.4515709200123,-34.6060942807799,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"059-182-001",-58.4526268380858,-34.6049542074782,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"059-182-024",-58.4520460788339,-34.6059956447552,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"059-186-010",-58.456069649753,-34.6025615324793,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-003-011",-58.4494780239081,-34.6066525151346,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-004-018",-58.4504359566587,-34.6059788858884,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-015-011B",-58.4491154252313,-34.6065772714823,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-017-001",-58.4506294599796,-34.6037397083209,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-017-029",-58.4501545253738,-34.6046724966775,"SERVICIO DE HOTELERIA Y RESTAURANTES","HOTELERIA"
"047-026-005",-58.4464035335831,-34.6071107531763,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
